epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,12826.4,1.26039,1.54334,1.26083,0.60624,0.287,0.28499,0.17648,1.42553,1.75506,1.37772,7.3668e-05,7.3668e-05,7.3668e-05
41,13151.8,1.25546,1.53839,1.26807,0.58326,0.29067,0.285,0.17551,1.42632,1.78853,1.39755,7.248e-05,7.248e-05,7.248e-05
42,13474.1,1.2696,1.55649,1.26833,0.58433,0.28984,0.2818,0.17044,1.43813,1.75489,1.38929,7.1292e-05,7.1292e-05,7.1292e-05
43,13794.1,1.25731,1.53721,1.2637,0.597,0.28574,0.28887,0.17601,1.42685,1.7586,1.382,7.0104e-05,7.0104e-05,7.0104e-05
44,14114.9,1.24951,1.52085,1.25291,0.59454,0.28224,0.29826,0.18065,1.42259,1.7643,1.37335,6.8916e-05,6.8916e-05,6.8916e-05
45,14435.4,1.25248,1.49799,1.25161,0.61731,0.27721,0.28927,0.17504,1.42327,1.74821,1.38014,6.7728e-05,6.7728e-05,6.7728e-05
46,14756.2,1.24733,1.51082,1.24985,0.63477,0.26577,0.28552,0.17519,1.42116,1.76181,1.37788,6.654e-05,6.654e-05,6.654e-05
47,15078,1.2515,1.48393,1.24825,0.59784,0.28869,0.28783,0.17479,1.43734,1.76474,1.39983,6.5352e-05,6.5352e-05,6.5352e-05
48,15401.9,1.24286,1.49814,1.25389,0.56387,0.30123,0.29545,0.18261,1.42572,1.75397,1.38955,6.4164e-05,6.4164e-05,6.4164e-05
49,15725.1,1.2422,1.48473,1.25882,0.54718,0.30275,0.29556,0.18241,1.42573,1.76003,1.38592,6.2976e-05,6.2976e-05,6.2976e-05
50,16050.9,1.24774,1.47005,1.24775,0.56282,0.31718,0.29639,0.18024,1.42212,1.74471,1.37987,6.1788e-05,6.1788e-05,6.1788e-05
51,16374,1.21871,1.46395,1.23583,0.58671,0.30513,0.30007,0.1842,1.41669,1.7426,1.37545,6.06e-05,6.06e-05,6.06e-05
52,16700.2,1.22059,1.44458,1.24374,0.5677,0.32917,0.30631,0.18666,1.42704,1.7362,1.3817,5.9412e-05,5.9412e-05,5.9412e-05
53,17024.1,1.22533,1.45052,1.23712,0.53022,0.3209,0.30532,0.18755,1.43123,1.74815,1.38267,5.8224e-05,5.8224e-05,5.8224e-05
54,17348,1.21868,1.44934,1.23556,0.56777,0.30485,0.30417,0.18651,1.4246,1.73648,1.38593,5.7036e-05,5.7036e-05,5.7036e-05
55,17672.3,1.21433,1.42281,1.23701,0.59406,0.3035,0.29842,0.18206,1.42537,1.75644,1.38097,5.5848e-05,5.5848e-05,5.5848e-05
56,17994.9,1.22158,1.42534,1.24511,0.59497,0.29453,0.30246,0.18477,1.42482,1.71912,1.38748,5.466e-05,5.466e-05,5.466e-05
57,18317.5,1.21199,1.42935,1.23296,0.59375,0.29835,0.30151,0.18677,1.41621,1.71356,1.37664,5.3472e-05,5.3472e-05,5.3472e-05
58,18639.7,1.21275,1.42345,1.22106,0.55435,0.32924,0.30502,0.18671,1.42559,1.70939,1.38795,5.2284e-05,5.2284e-05,5.2284e-05
59,18961.2,1.19103,1.40156,1.22267,0.59641,0.30412,0.30864,0.1874,1.40864,1.70422,1.37557,5.1096e-05,5.1096e-05,5.1096e-05
60,19283.6,1.19109,1.39682,1.22339,0.58637,0.30729,0.30959,0.187,1.41971,1.69915,1.38406,4.9908e-05,4.9908e-05,4.9908e-05
61,19605.8,1.20413,1.41187,1.22599,0.6189,0.29467,0.30627,0.18615,1.42025,1.70932,1.37555,4.872e-05,4.872e-05,4.872e-05
62,19925.9,1.19059,1.37372,1.21289,0.56419,0.31093,0.31077,0.18792,1.4227,1.69594,1.37618,4.7532e-05,4.7532e-05,4.7532e-05
63,20252.9,1.20037,1.39068,1.21433,0.61381,0.28753,0.31457,0.18989,1.42179,1.69616,1.38154,4.6344e-05,4.6344e-05,4.6344e-05
64,20581.7,1.19543,1.38186,1.2162,0.53284,0.3208,0.30821,0.19022,1.42303,1.69893,1.38218,4.5156e-05,4.5156e-05,4.5156e-05
65,20904.7,1.19351,1.38328,1.21365,0.52263,0.3403,0.31551,0.19354,1.41387,1.69458,1.36906,4.3968e-05,4.3968e-05,4.3968e-05
66,21228.5,1.18614,1.38237,1.21519,0.56938,0.32034,0.31566,0.19538,1.41215,1.68437,1.3725,4.278e-05,4.278e-05,4.278e-05
67,21551,1.18831,1.38084,1.21807,0.5327,0.33829,0.31414,0.19195,1.41821,1.6795,1.38234,4.1592e-05,4.1592e-05,4.1592e-05
68,21872.4,1.18322,1.37374,1.21663,0.55185,0.32622,0.3144,0.19077,1.4238,1.67719,1.3857,4.0404e-05,4.0404e-05,4.0404e-05
69,22194.5,1.18802,1.36102,1.20986,0.60878,0.29937,0.31416,0.19209,1.41922,1.67813,1.3825,3.9216e-05,3.9216e-05,3.9216e-05
70,22515.9,1.17868,1.35015,1.21189,0.57866,0.30886,0.31026,0.19129,1.42075,1.68146,1.38124,3.8028e-05,3.8028e-05,3.8028e-05
