epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1875.92,1.11856,1.06158,1.17573,0.51498,0.38554,0.37216,0.22736,1.35982,1.41665,1.36042,0.000108101,0.000108101,0.000108101
43,1920.13,1.11719,1.05691,1.17379,0.52133,0.3881,0.36526,0.2288,1.35455,1.38415,1.35272,0.000107535,0.000107535,0.000107535
44,1964.01,1.11668,1.05041,1.17861,0.48514,0.39119,0.37736,0.23634,1.36348,1.40968,1.35876,0.000106958,0.000106958,0.000106958
45,2006.47,1.10911,1.04795,1.17577,0.59286,0.34564,0.37703,0.23535,1.35882,1.41835,1.36037,0.000106368,0.000106368,0.000106368
46,2050.8,1.10449,1.0407,1.1758,0.56126,0.40999,0.39481,0.24505,1.35971,1.40822,1.35284,0.000105768,0.000105768,0.000105768
47,2096.69,1.10664,1.04433,1.17211,0.49899,0.40969,0.39747,0.24141,1.38531,1.42023,1.3735,0.000105157,0.000105157,0.000105157
48,2142.74,1.07712,0.99669,1.15522,0.58094,0.38192,0.39084,0.24316,1.37379,1.43065,1.36681,0.000104534,0.000104534,0.000104534
49,2184.47,1.0834,1.00428,1.15173,0.52268,0.39754,0.39077,0.24004,1.36844,1.42219,1.36772,0.000103901,0.000103901,0.000103901
50,2229.75,1.08868,1.00879,1.15339,0.58706,0.41743,0.4087,0.2503,1.37032,1.4242,1.36575,0.000103257,0.000103257,0.000103257
51,2274.62,1.06222,0.97205,1.13861,0.53521,0.39055,0.39273,0.24597,1.37159,1.42917,1.37267,0.000102602,0.000102602,0.000102602
52,2318.23,1.07718,0.98581,1.14573,0.48066,0.46066,0.40716,0.25291,1.35905,1.4176,1.36402,0.000101937,0.000101937,0.000101937
53,2362.09,1.0683,0.97622,1.14612,0.55439,0.39286,0.40582,0.24967,1.38287,1.42261,1.38016,0.000101262,0.000101262,0.000101262
54,2405.71,1.06032,0.96373,1.14364,0.56025,0.40805,0.40664,0.25311,1.38285,1.43463,1.37626,0.000100577,0.000100577,0.000100577
55,2451.18,1.06872,0.9762,1.15055,0.54999,0.39626,0.40556,0.25217,1.3667,1.43447,1.37392,9.98819e-05,9.98819e-05,9.98819e-05
56,2496.96,1.07744,0.99552,1.15238,0.49264,0.45435,0.41123,0.25799,1.37082,1.43602,1.36985,9.91772e-05,9.91772e-05,9.91772e-05
57,2540.53,1.04551,0.93513,1.12888,0.56778,0.41907,0.41558,0.2521,1.37681,1.45295,1.38373,9.8463e-05,9.8463e-05,9.8463e-05
58,2583.35,1.04155,0.94137,1.13563,0.51346,0.4328,0.40017,0.24545,1.39518,1.45315,1.38935,9.77394e-05,9.77394e-05,9.77394e-05
59,2625.87,1.01714,0.89816,1.11123,0.56524,0.42962,0.41122,0.25382,1.38574,1.45557,1.3825,9.70067e-05,9.70067e-05,9.70067e-05
60,2670.41,1.03441,0.9314,1.12346,0.53293,0.43716,0.39937,0.2451,1.38769,1.45725,1.37641,9.6265e-05,9.6265e-05,9.6265e-05
61,2714.19,1.04081,0.93542,1.13027,0.61073,0.39421,0.4082,0.25197,1.38531,1.47217,1.38004,9.55144e-05,9.55144e-05,9.55144e-05
62,2758.76,1.02841,0.91981,1.12592,0.58223,0.41967,0.4146,0.25887,1.37905,1.47661,1.36867,9.47553e-05,9.47553e-05,9.47553e-05
63,2803.02,1.02665,0.91009,1.12007,0.62092,0.39261,0.41517,0.25528,1.38581,1.47743,1.38062,9.39878e-05,9.39878e-05,9.39878e-05
64,2847.31,1.0152,0.90257,1.11716,0.58197,0.4205,0.42033,0.26186,1.38485,1.49115,1.38545,9.3212e-05,9.3212e-05,9.3212e-05
65,2893.32,1.03498,0.92652,1.12799,0.5534,0.40207,0.42293,0.2616,1.38523,1.44233,1.39013,9.24281e-05,9.24281e-05,9.24281e-05
66,2937.14,1.01949,0.90547,1.11412,0.52431,0.41834,0.41419,0.25267,1.38438,1.46768,1.37724,9.16364e-05,9.16364e-05,9.16364e-05
67,2981.86,1.01496,0.90963,1.11987,0.56679,0.41383,0.40771,0.25831,1.3732,1.45798,1.37802,9.08371e-05,9.08371e-05,9.08371e-05
68,3026.62,1.02566,0.91746,1.1224,0.62751,0.36958,0.40651,0.25584,1.37711,1.48338,1.38257,9.00302e-05,9.00302e-05,9.00302e-05
69,3070.41,1.01635,0.90648,1.11827,0.53868,0.40806,0.42318,0.25832,1.38402,1.43893,1.3864,8.92162e-05,8.92162e-05,8.92162e-05
70,3114.9,1.00506,0.8818,1.10376,0.55603,0.41819,0.40503,0.25896,1.36558,1.43835,1.37731,8.8395e-05,8.8395e-05,8.8395e-05
71,3159.7,1.00708,0.88731,1.11124,0.62736,0.37512,0.39764,0.25369,1.38368,1.49503,1.38625,8.7567e-05,8.7567e-05,8.7567e-05
72,3202.94,0.99662,0.87193,1.10672,0.51794,0.42327,0.39803,0.25199,1.38081,1.47145,1.39261,8.67324e-05,8.67324e-05,8.67324e-05
73,3247.17,1.00486,0.88871,1.11449,0.53361,0.4122,0.40082,0.24795,1.3826,1.4805,1.38562,8.58913e-05,8.58913e-05,8.58913e-05
74,3290.36,1.00233,0.88706,1.11543,0.55385,0.41564,0.39657,0.24757,1.38267,1.47775,1.38332,8.5044e-05,8.5044e-05,8.5044e-05
75,3334.44,0.9782,0.84941,1.09576,0.60102,0.37418,0.40176,0.24804,1.37689,1.46858,1.37631,8.41906e-05,8.41906e-05,8.41906e-05
76,3377.19,0.9766,0.8545,1.09206,0.61018,0.37756,0.39743,0.24966,1.36953,1.47407,1.37448,8.33314e-05,8.33314e-05,8.33314e-05
77,3421.92,0.99562,0.87139,1.10942,0.53364,0.40672,0.3997,0.25395,1.36945,1.48027,1.37226,8.24666e-05,8.24666e-05,8.24666e-05
78,3465.2,0.99429,0.86627,1.10154,0.54171,0.41612,0.40284,0.251,1.37117,1.44867,1.37,8.15964e-05,8.15964e-05,8.15964e-05
79,3510.36,0.94699,0.80697,1.08098,0.53686,0.40653,0.39139,0.24553,1.37751,1.48253,1.38818,8.0721e-05,8.0721e-05,8.0721e-05
80,3555.21,0.97974,0.86039,1.10304,0.61027,0.38144,0.3986,0.24937,1.37673,1.4714,1.38526,7.98407e-05,7.98407e-05,7.98407e-05
81,3597.56,0.9656,0.83257,1.08991,0.56919,0.41111,0.39427,0.24977,1.38217,1.49962,1.38071,7.89556e-05,7.89556e-05,7.89556e-05
82,3641.83,0.95503,0.82656,1.08455,0.56487,0.41337,0.40459,0.25472,1.37863,1.48986,1.39112,7.8066e-05,7.8066e-05,7.8066e-05
